oclc,authorName,authorDates,ENDFullTitle,pubLocationStatement,pubDateTranscribed,format,formatStatement,generalNotes,paratextTitleControlled,paratext,epigraphBoolean,narrativeFormPrimary,narrativeFormAdditional,nonProseForms,inscriptionBoolean,marginaliaBoolean,translationClaimControlled,titleOtherWorks,titleNouns,titleAdjectives,titlePlaces,titleNames,titleVerbs,titleObjects,titleAdverbs,catalogedBy,Column,Column 29,Column 30,Column 31
,,,The history of Sir Roger and his son Joe: in two volumes. Vol. I,London,1757,Duodecimo,In two volumes,Bookplate - v.2  front paste down - Nil Timeo John Drummond of Logy Almond Esq. ,Table of Contents,Includes small descriptions of each chapter. ,0,Third-person,"First-person, Letters",,1,1,,,"History, Son, Volume",,,"Sir Roger, Joe",,,,EJM,,,,
,,,"The temple beau, or the town coquets. A novel. ",London,1754,Duodecimo,,Franklin record has no authorship claims for this work. ,"Dedication, Table of Contents","My Lord, it's not your high birth, and exalted quality, that is the cause of my seeking you out for a patron to the following sheets, your lordship very well knows, that founding titles, unaccompanied with merit, are things I little set by;, Each chapter is described in a few words. ",0,Third-person,First-person,,0,1,,,"Beau, Coquet, Novel ","Town, Temple",,,,,,EJM,,,,
,,,"The Theatre of Love. A collection of novels, none of which were ever printed before. [Price bound three shillings.]",London,1759,Duodecimo,,"Collection of small novels, each with its own title page., [Price bound three shillings.], Page 115 has been ripped and tapped back together.","Dedication, Preface","Madam, A collection of moral novels, tending to promote the cause of virutue, be consecrated at any person's shrine with greater propriety, than at yours;..., Tales of a domestick nature, and of general concern, have ever been allowed to be of great utility...",1,Third-person,"First-person, Letters",,1,1,,,"Theatre, Love, Collection, Novel, Parent, Daughter, Friend, Mother, Father, Lover, Quarrel, Resolution, Couple, Maid, Virtue, Innocence, Sister, Fortune-Hunter, Fortune, Hunter","None, Discreet, Discrete, Favourite, Sincere, Tender, Cruel, Generous, Fatal, Mannerly, Triumphant, Rival, Unfortunate, Female",,"Frederick, Mirande, Horatio, Cordelia, Clerimont, John, Joan, Celia, Hillario, Leonora, Jenny",Print,,,EJM,,,,
," R. P.,",,"Virtue triumphant, and pride abased;in the humorous history of Dickey Gotham and Doll Clod : digested from antient tractates, and the records of those memorable families, now extant at Addle Hall, in Nottinghamshire. By R.P. Biographer. Vol. I",London,1753,Duodecimo,,"Bookplate: Volumes 1 and 2 include a bookplate of a crest with the word fidelis on it. It is inscribed John Waldie., There is a library-related bookplate on volumes 1 and 2 that reads: Novels and romances. No. 526 ","Table of Contents, Footnote","This table of contents includes a short description of each chapter., A Footnote occurs in v.1 on page 2.  ",0,Third-person,Letters,Poems ,0,1,,,"Virtue, Pride, History, Tractate, Record, Family, Biographer","Triumphant, Abased, Antient, Ancient , Memorable, Humorous, Extant","Addle Hall, Nottinghamshire","Dickey Gotham, Doll Clod, R.P. ",Digest,,,EJM,,,,
,"Bigelow, Jacob,",1786-1879,"The wars of the gulls; an historical romance. In three chapters. Chap I. Shewing how, and with whom the gulls went to war. Chap. II. Shewing how the gulls make the deep to boil like a pot. Chap. III. Shewing how a certain doughty general of the gulls goes forth to play the game of hull-gull in upper Canada. ",New-York,1812,Quarto,In three chapters,"The chapters are enumerated with short descriptions of their events on the title page. , The cover includes the same text and formatting as the title page, and is made of a thin book board. , A Federalist satire attribued to Jacob Bigelow and Nathan Hale. ","Footnotes, Poem","Footnotes are located on pages 10, 12, and 17., Two staunch looking hulls, --- Fitted out by the gulls, --- A demo. on land, and a fed. on the water, --- As they cruized for their game, --- With their blood all on flame, --- Made the forest to roar and the ocean to spatter. --- The federal hull--- Gave chase to John Bull, --- And was soon alongside of the thundering guerrier; --- With his balls and his powder--- So thickly he plough'd her--- She sunk a mere wreck, and the gulls ne'er sung merrier. --- The demo. on land, --- Porclamation in hand, --- Direct on fort Malden bore down like a navy; --- There stood General Brock--- In his way, like a rock, --- So the hull struck and bilged, and the crew cried pecavi. --- Now the gulls, all aghast,--- With groans fill the blast,--- An lustily cry build a navy and man it;--- And if we be gulls,--- O let us be sea-gulls, --- And give up our conquests to Bidwell and Gannet.",1,Third-person ,,Poems,0,1,,,"War, Gull, Romance, Chapter, Deep, Pot, General, Game, Hull-gull","Historical, Doughty, Upper",Upper Canada,,"Shew, Show, Go, Boil, Make, Play",Pot,,EJM,,,,
,"Victor, Benjamin,", d. 1778.,The widow of the wood. Being an authentic narrative of a late remarkable transaction in Staffordshire. ,Glasgow,1769,Duodecimo,,12mo in 6s,"Postscript, Table of Contents","As the behavior of Mr. C-----e, in the course of this narrative, must have made an unfavourable impression in the mind of my reader, I must beg leave to observe, that his first inducement to comply with the request of Mr. R---ns, from the motive of humanity;, Table of contents includes small description of sections, includes page number. ",0,Third-person,First-person,Letters,1,1,,,"Widow, Wood, Narrative, Transaction","Authentic, Remarkable, Late",Staffordshire,,Be,,,EJM,,,,
,"Victor, Benjamin,",d. 1778,The widow of the wood.,London,1755,Duodecimo,,"Gilded pages. , Front flyleaf has handwritten, faded ink Widow of the Wood. Has eaten through the page, Bookplate: James Maidment  and crest. , Front flyleaf includes excerpt from a bookseller's catalogue. Widow of the wood, a narrative, by Benj. Victor. 12mo.","Table of Contents, Postscript","Table of contents include a small description of each section., As the behavior of Mr. C-----e, in the course of this narrative, must have made an unfabourable impression in the mind of my reader, I must beg leave to observe, that his first inducement to comply with the request of Mr. R---ns was from the motive of humanity;",0,Third-person,First-person,Letters,0,0,,,"Widow, Wood",,,,,,,EJM,,,,
,"Victor, Benjamin,",d. 1778.,The widow of the wood. ,London,1755,Duodecimo,,"Ephemera: Between pages 38-39, a small piece of paper with library marginalia is placed. ","Table of Contents, Postscript ","Table of contents includes a small description of each chapter. , As the behavior of Mr. C----e, in the course of this narrative, must have made an unfavorable impression in the mind of my reader...",0,Third-person,First-person,Letters,1,0,,,"Widow, Wood",,,,,,,EJM,,,,
,,,"The travels and adventures of William Bingfield, Esq; Containing, as surprizing a fluctuation of circumstances, both by sea and land, as ever befel one man. With an accurate account of the shape, nature, and properties of that most furious, and amazing animal, the dog-bird. Printed from his own manuscript. With a beautiful frontispiece. Vol. I. ",London,1753,Duodecimo,,The illustrated frontispiece mentioned in the title folds out to be twice as large as the other pages. It is captioned According to act 1752. - Boitard Fecit ,"Table of contents, Table of contents","The table of contents appears to have been improperly bound at the back, based on the odd pagination, which begins at iii. ",0,First-person,,,0,0,,,"Travel, Adventure, Esq. , Fluctuation, Circumstance, Sea, Land , Man, Account, Shape , Nature, Property, Animal , Dog-Bird, Dog, Bird, Manuscript, Frontispiece","Surpising, Accurate, Furious, Amazing, Beautiful",,"William Bingfield, Esq. ","Contain, Befall, Print, Befal",,,TJT,,,,
,"Freeman, William",18th cent.,"Letters on several occasions, by the late Sir William Freeman.  To which some account of the author is prefixed.",London,1757,Octavo,,"Running title changes with each letter - Letter [roman number #] (except pp. 15-6, a standalone poem in the middle of the text with running title To Lucinda.), According to Penn Franklin, Sir William Freeman is a pseudonym, B3 incorrectly signed B4","Table of contents, Introduction, Errata, Poem, Footnotes","Organized by numbered letter, identified by addressee and contents.  Includes entry for To Lucinda. With a landscape. which is neither numbered nor identified as a letter., It has been so constant, and almost invariable a custom, to prefix some little account of a writer to his works, that the editor would have scarcely been excused by the generality of readers, if he had sent the following letters into the world without some biographical anecdotes.  Introduction is split between life of the 'author' and justification of 'editorial practice', Facing first page of main text, pp. 14-6.  Between letters III and IV and dated in between the two.  Couplets in iambic pentameter describe pastoral scene and beauty of addressee Lucinda., On xxi, 15, 207",1,Epistolary,,Poems,1,0,,,"Letter, Occasion, Account, Author","Several, Late, Some",,Sir William Freeman,Prefix,Letter,,NAA,,,,
,,,"The travels of Zoroaster, king of the Bactrians. Composed chiefly for the instruction of a young prince. Vol. I. ",London,1753,Duodecimo,,"The Argument of each book (i.e. synopsis) is described, often at great length, in the table of contents and in chapter headings in the main body of the text","Dedication, Introduction, Table of contents, Table of contents, Table of contents, Footnote","A proper address to persons placed in the highest station of life, is the most difficult thing in nature. Lavish praise; flattery must betray all its symptoms of baseness... , In narratives, where an illustrious personage is introduced as chief actor, or where a character is exhibited, made up from the soundest morals... , Book I. Zoroaster, after a painful and fruitless search of several years, for the discovery of his beautiful Astarte, returns to Zariafpa... , Book VIII. The second vision of Zugiah, the son of Ethbaal. Upon pleasure. Page I. Book IX. This book contains the sequel of Zugiah's vision on pleasure. 45, Book XVI. Zoroaster leaves home with two servants, and arrives at the abode of the sage of Sogdiana... , Footnotes appear in v.1 on the following pages: ix, xx, xxx, 1, 2, 51, 52, 214; Footnotes appear in v.2 on the following pages: 305; Footnotes appear in v.3 on the following pages: 285",1,First-person,,,1,0,,,"Travel, King, Bactrians, Prince",Young,,Zoroaster,"Compose, Instruct",Chiefly ,,TJT,,,,
,,,"Admonitions from the dead, in epistles to the living.",London,1754,,,"Includes letters from Prior, Addison, etc.; to Hume, Voltaire, Fielding, etc., Bookplate front pastedown - Heraldic emblem, name Hicks, Some names starred out","Advertisement, Table of contents.","These Letters are a Part of what were found among the Papers of a Gentleman well known to the learned World, who died this Winter: the Editor hopes he did not judge amiss, in thinking them worthy the Notice of the Publick., Suggests letters may be by a single hand in imitation of supposed writers, but this he submits to the Opinion of the Publick, Organized by letter; each numbered and identified by writer, addressee, and usually topic",0,Letters,,,1,0,,,"Admonition, Epistle, Spirit, Sex, Friend, Enemy, View, Conduct, Cause, Religion, Virtue, Edition","Dead, Living, Certain, Both, Alive, Moral, Second",Earth,,"Address, Condemn, Justify, Promote",Epistle,,NAA,,,,
,"La Place, Pierre Antoine de,",1707-1793,"Agreeable ugliness: or, the triumph of the graces.",London,1754,Duodecimo,,"Bookplate - The Godfrey F. Singer Memorial presented by Mr. and Mrs. Jacob Singer, According to library catalog, a translation of Pierre Antoine de la Place's  Laideur aimable et les dangers de la beaute?., Signature G has been incorrectly gathered. The pagination is as follows: 121-128, 133-136, 129-145. , Page 179 either contains the wrong catch word or is missing a catch word. ","Dedication, Preface","Ladies, it is to You, my melancholy Companions, You to whom as well as to myself, churlish Nature has denied what is esteemed the most valuable, if not the only Advantage of our Sex; to You, I say, I consecrate this work.  According to the usual Sile of Dedications, I ought to begin my Compliments to You, with a Panegyricon Ugliness; but let me refer You to the Epistle to the Graces.  I would not be accused of meanly soliciting Your Favor and Protection.  I am likewise too well convinced, that I should vainly endavor to obtain Your Approbation.  There is not one among You, my dear Ladies, that has Courage to confess publicly, or perhaps even to own to herself, that she ought to appropriate any Part of my Offering; and since I cannot hope for any Gratitude, You should not expect any Compliments., When I wroe my Life, I had no more Design of publishing it than I had of composing a Romance.",0,First-person,Letters,Poems,0,1,,,"Ugliness, Triumph, Grace, Life, Fortune, Lady, Distinction","Agreeable, Real, Some, Young",,,Exemplify,,,NAA,,,,
,,,"Court intrigues, or The secret history of Ardelisa, a story founded on facts and illustrated with anecdotes of persons in real life. ",,1759,Duodecimo,,12mo in 6s,,,1,Third-person,Letters,,0,0,,,"Intrigues, History, Story, Fact, Anecdote, Person, Life","Court, Secret, Real",,Ardelisa,"Found, Illustrate",,,EJM,,,,
,,,"The life and adventures of Bampfylde-Moore Carew, commonly called the king of the beggars: being an impartial account of his life, from his leaving Tiverton School at the age of fifteen, and entering into a society of gipsies; wherein the motives of his conduct are related and explained: the great number of characters and shapes he has appeared in through Great Britain, Ireland, and several other places of Europe: with his travels twice through great part of America: giving a particular account of the origin, government, laws, and customs of the gipsies; with the method of electing their king: and a dictionary of the Cant language, used by the mendicants.",London,1788,Octavo,,The frontispiece is a portrait of Bampfylde Moore Carew.,"To the reader., Footnotes, Glossary","The proprietors of this edition beg leave to premise to the public, that they have taken the liberty of omitting the parallel which has been carried on in the former editions of this work, between Mr. Carew and Tom Jones, with the criticism and reflections on that performance; as they are of opinion, that nothing can be more absurd, than a comparison between a real and fictional character[...], Footnotes appear on pages 6, 11, 15-16, 35, 40, 41, 50, 51, 88, 89, 90, 110, 121, 125, and 147., As the language of the community of gypsies is very expressive, and different from all others, we think we shall do a pleasure to the curious by annexing a short specimen of it.",0,Third-person,,Poems,0,1,,,"Life, Adventure, King, Beggar, Account, School, Age, Society, Gipsy, Motive, Conduct, Number, Character, Place, Travel, Part, Origin, Government, Law, Custom, Method, Dictionary, Language, Mendicant","Impartial, Fifteen, Great, Several, Other, Twice, Giving, Particular, Cant","Great Britain, Ireland, Europe, America","Bampfylde-Moore Carew, Tiverton","Leave, Enter, Relate, Explain, Appear, Elect, Use",,,JRH,,,,
,,,"The life, voyages and adventures of Bampfylde-Moore Carew; commonly called, king of the beggars. Being an impartial account of his life, from his leaving Tiverton school, at the age of fifteen, and entering into a society of gypsies, to his death: the great number of characters and shapes he has appeared in through Great-Britain and Ireland, and several other places of Europe: with a history of his travels twice through great part of America. Collected and amended from his own writings, by Thomas Price, of Poole, in Devon. To which is added, a dictionary of the Cant language, used by the mendicants.",London,,Duodecimo,,"The frontispiece�is a portrait of the titular character. , Library related marginalia throughout. ","Preface, Footnote, Glossary","The entire preface reads, The compiler, being well acquainted with Mr. Bampfylde-Moore Carew, thinks himself authorized to declare to the reader, that this edition is the most authentic and fullest account ever published of this extraordinary man; as it is selected wholly from the journals which he constantly kept of his travels; and still remain in the possession of his family., Footnotes appear on pages 7, 36, 43, 55, 99, 100, 129, 131, and 147., Bigawast-get you hence, begone...Blower - A mistress; also, a whore...Comfortable impudence- a wife...Froglanders- Dutchmen...Mutton-monger- a lover women...Mutton in long coats- women...A leg of mutton in silk stockings- a woman's leg...School-butter - a whipping...Zneefy weather-frosty weather.",0,Third-person,,Poems,0,1,,,"Life, Voyage, Adventure, King, Beggar, Account, School, Age, Society, Gypsy, Death, Number , Character , Shape, Place, History, His, Travel, Part , Writing, Dictionary, Cant , Language, Mendicant, Fifteen","Impartial, Great, Several","Tiverton, Great-Britain, Great Britain, Ireland, Europe, America, Poole, Devon","Bampfylde-Moore Carew, Thomas Price","Call, Be, Leave, Enter, Appear, Collect, Amend, Add, Use","Commonly, Twice",,TJT,,,,
,"Fielding, Sarah,",1710-1768.,The history of Betty Barnes: in two volumes. Vol. I. ,London,1753,Duodecimo,In two volumes,"Franklin's record has Sarah Fielding as the author of this work, but the author's name appears nowhere in the text. , There are pieces of paper inserted on pages 33 & 53 as bookmarks. , Each chapter is preceded by a short description. ",,,0,Third person,Letters,,0,1,,,"History, Volume",Two,,Betty Barnes,,,,EJM,,,,
,"Kidgell,(John),",Mrs.,The Card. Vol. I. ,Dublin,1755,Duodecimo,In two volumes,"Ephemera: Vol. 1 includes two handwritten notes. One is a biography of Rev. John Kidgell and is signed with initials [T.E.J.?]; the other includes excerpts from a bookseller's catalogue and appears to be signed E. Evelyn, Vol. 1 includes an illustration of a card bound between pages 10 and 11. , Frontispiece: Vol. 1 includes an image of a card with an explanation of the use of color and symbols in the picture. The grand figure representts a human creature. The dart in his right hand intimates cruelty..., Illustration on flyleaf inserted between p. 10 and p. 11 of v.1","Letter, To the Reader, List of Characters, Table of Contents, Footnotes","Written in verse. So on as an author is a going--- to publish what is scarce worth knowing,--- Ere yet the tell-tale advertiser---has made the public much the wiser,..., Gentle reader, as it has long be customary with authors of consequence to recommend to public attention the utility of their respective labours, in little treatises distinguish'd each by the name of preface, I have the honour of imitating my superiors by an address of that fashionable sort, and have intreated my printer not to croud it into italicks. , Includes a list of characters and their titles/ roles in the story., Both volumes include an index of the contents, or a small description of each chapter. , Footnotes appear on pages: v.1: 16, 35, 53, 57, 58, 75, 77, 78, 95, 106, 112, 122, 126, 129, 130, 137, 155, 168, 183, 198, 199, 200, 201, 209, 211; v. 2: 79, 133,169, 171, 183, 185, 222, 232, 238, 240, 250, 258.",1,Third-person,Letters,Poems,1,1,,,"Card, Volume",,,,,Card,,EJM,,,,
,"Kidgell, John",b. 1722,The Card Vol. I. ,London: ,1755,Duodecimo,,"Signature label is misprinted. v.1 C4 is printed as C3. , Frontispiece is an illustration of a 'card' with the following caption: Explanation. The grand figure represents a human creature. The dart in his right hand intimates cruelty; the black spot on the left denotes artifice and disguise; the yellow in his raiment is a sign of jealousy, and the red of anger; the flower at his feet betokens vivacity of genius and the feather in his cap bespeaks promotion. , v.1 Pg. 197 is mispaginated as 697. ","Letter, To the reader, List of characters, Errata, Table of contents, Footnote","Written in verse, Soon as an author is a going to publish what is scarce worth knowing, ere yet the tell-tale advertiser has made the public much wiser, by speedily, and in press, but left us all the rest to guess, another author, and another politely court the rising brother with able pen! , Gentle reader, as it has been long customary with authors of consequence to recommend to public attention the utility of their respective labours, in little treatises distinguish'd each by the name of preface, I have the honour of imitating my superiors by an address of that fashionable sort, and have intreated my printer not to croud it into italicks. , Footnotes appear on the following pages - v.1:  20, 42, 64, 69, 70, 90, 92, 93, 113,  126, 133, 149, 152, 153, 154, 162, 182, 197, 214, 232, 233, 235, 236, 245, 247; v.2: 94, 170, 199, 203, 216, 217, 218, 262, 273, 280, 282, 294, and 304.",0,Third Person,Letters ,"Poems, Sheet music ",0,1,,,"Card, Volume ",,,,,Card,,EJM/TJT,,,,
,"Kidgell, John",b. 1722,The Card. Vol. II. ,London.,1755,Duodecimo,Two volumes,"Frontispiece: Vol. 1 includes an image of a card with an explanation of the use of color and symbols in the picture. The grand figure representts a human creature. The dart in his right hand intimates cruelty..., An image of a card appears between pages 12 and 13. ","Letter, To the Reader, List of Characters, Table of Contents, Errata, Footnotes ","Written in verse. Soon as an author is a going--- to publish what is scarce worth knowing,--- Ere yet the tell-tale advertiser---has made the public much the wiser,..., Gentle reader, as it has long be customary with authors of consequence to recommend to public attention the utility of their respective labours, in little treatises distinguish'd each by the name of preface, I have the honour of imitating my superiors by an address of that fashionable sort, and have intreated my printer not to croud it into italicks. , Includes a list of characters and their titles/ roles in the story., Both volumes include an index of the contents, or a small description of each chapter. , Errata in volume one includes misprints for both volumes 1 and 2. , Footnotes appear on the following pages - v.1:  20, 42, 64, 69, 70, 90, 92, 93, 113,  126, 133, 149, 152, 153, 154, 162, 182, 197, 214, 232, 233, 235, 236, 245, 247; v.2: 94, 199, 203, 216, 217, 218, 262, 273, 280, 282, 294, 304, ",1,Third- person,Letters,"Sheet music , Poems",0,0,,,"Card, Volume",,,,,,,EJM,,,,
,"Charke, Charlotte,",1713-1760,A narrative of the life of Mrs. Charlotte Charke.,London,1755,Duodecimo,,"Half-title page includes: [Price bound two shillings and six-pence.], Frontispiece: a depiction of Mrs. Charlotte Charke. , Boards are bound with paper that has illegible text on it [photographed].","Copyright Statement, Dedication","N.B. this book is enter'd in the stamp-office, and in the hall-book of the company of stationers; and whoever perfumes to pirate it, or any part thereof, will be prosecuted. , Madam, tho' flattery is universally known to be the spring from which dedications frequently flow, I hope I shall escape that odium so justly thrown on poetical petitioners, notwithstanding my attempt to illustrate those wonderful qualifications by which you have so eminently distinguish'd yourself, and gives you a just claim to the title of a nonpareil of the age. ",1,First-person,,,1,1,,,"Narrative, Life, Account, Birth, Education, Prank, Youth, Coming, Stage, Success, Anecdote, Marriage, Consequence, Adventure, Cloaths, Clothes, Name, Lady, Fortune, Gentleman, Peer, Player, Vicissitude, Peregrination, Cook, Occurence, Daughter, Book, Stamp, Office, Hall-book, Hall, Part, Company, Stationer","Youngest, Mad, Sundry, Mens, Great, Various, Surprizing, Surprising, Nine, Pastry, Several, Extremely, Humourous, Humorous , Interesting, Belov'd, Beloved","Wales, Stamp-Office","Mrs. Charlotte Charke, Colley Cibber, Mr. Charke, Mr. Brown","Go, Be, Intend, Commence, Turn, Enter, Pirate, Prosecute","Account, Cloaths, Clothes, Book, Pastry, Stamp",,EJM,,,,
,"Charke, Charlotte,",1713-1760,"A narrative of the life of Mrs. Charlotte Charke. N.B. This book is enter'd in the stamp-office, and in the hall-book of the company of stationers; and whoever presumes to pirate it, or any part thereof, will be prosecuted. [Price bound two shillings and six-pence.]",London: ,1755,Duodecimo,,"Appears to be duodecimo in sixes. , Bookplate - Mrs. Charlotte Charke - contains a portrait , Pages 270-77 are not demarcated as such, but contain a sort of epilogue where the author gives a summary of the novel. ","Copyright statement, Dedication","N. B. This book is enter'd in the stamp-office, and in the hall-book of the company of stationers; and whoever presumes to pirate it, or any part thereof, will be prosecuted. , Madam, tho' flattery is universally known to be the spring from which dedications frequently flow, I hope I shall escape that odium so justly thrown on poetical petitioners, notwithstanding my attempt to illustrate those wonderful qualifications by which you have so eminently distinguish'd yourself, and gives you a just claim to the title of a nonpareil of the age. ",1,First-person,Letters,Poems,1,1,Author (text),,"Narrative, Life, Mrs., Book, Stamp-office, Stamp office, Stamp, Office, Hall-book, Hall book, Hall, Book, Company of Stationers, Part, Price, Shilling, Six-pence, Pence, Daughter, Account, Birth, Education, Prank, Stage, Success, Anecdote, Mr. , Consequence, Adventure, Cloaths, Clothes , Name, Lady , Fortune, Her, Gentleman, Peer, Player, Vicissitudes, Year, Cook, Pastry Cook, Occurence, Herself","Two, Six, Youngest, Mad, Sundry, Theatrical , Mens, Men's, Great, Certain, Various, Surprizing , Nine, Pastry, Several, Extremely, Humurous, Interesting",Wales,"Mrs. Charlotte Charke, Colley Cibber, Esq, Mr. Charke, Mr. Brown","Enter, Presume, Pirate, Prosecute, Contain, Commit, Come, Marriage, Go, Be, Beloved, Intend, Marry, Commence, Stroll, Peregrinate, Turn, Write","Pastry, Cloaths, Clothes, Stamp",,TJT,,,,
,"Caraccioli, Charles",,"Chiron: or, the mental optician. Vol. I.",London,1758,Duodecimo,,,"Preface, Introduction, Footnotes","The very great Philosopher, who, from his heart, wished that every  man had a window to his heart, undoubtedly, little foresaw, that, in the year 1758, the improvements in perspective glasses, at present, would answer his most eager wishes., Same pagination series as main text.  Authorial exposition, Footnote on I.5",1,Third-person,First-person,Poems,1,0,,,"Optician, Volume",Mental,,Chiron,,,,NAA,,,,
,"Collet, John.",,"Chit-chat: or, natural characters; and the manners of real life, represented in a series of interesting adventures. In two volumes. Vol. I.",London.,1755,Duodecimo,In two volumes.,"D signature is misprinted, D4 gathering is cut off on the bottom and misplaced within the gathering. , Ephemera pasted at the bottom of page 81, v.1 and pg 85, v. 2. Depiction of a building with an advent calendar printed on back; depiction of two animals in an open field. , A torn piece of lined paper found between pages 170-171., University of Pennsylvania bookplate v. 1 & 2",,,0,Third-person,"First-person, Dramatic dialogue",,1,0,,,"Chit-chat, Chit, Chat, Character, Manner, Life, Series, Adventure, Natural, Volume","Real, Interesting",Two,,Represent,,,EJM,,,,
,"Lawrence, James",1773-1840,"The empire of the Nairs; or, the rights of women. An utopian romance, in twelve books. By James Lawrence, author of The bosom friend, Love, an allegory, etc. In four volumes. Vol. I. Second edition.",London,1813,Duodecimo,In twelve books.,"The bottom portion of the title page of v.2 has been ripped out. , The running title for all volumes alternates by the book number, e.g. Book I., Book II., etc., The title page of volume 1 provides a different address for the printer Vigurs, than does the printer information at the back of�volumes 1, 3, and 4, which locate him at 5 Princes Street; and volume 2, which locates him at 53 Princes Street., v.2, page 203 has been pasted together, Each book is preceded by an 'argument' that summarizes the plot, The work alternates between third-person and dramatic dialogue frequently and does not always denote changes in narrative form. ","Advertisment, Review, Review, Review, Introduction, Errata , Footnotes, To the Subscriber","Records that the work was originally printed in German in 1793 and has gone under various names in German, French and English, Contains 3 reviews from different publications. , Note that this is a review of the original German text. , The paradise of love is a work perfectly original, and will in many respects make a new era in European culture. , Note that this is a review of the original German text. , The author adopts the principles of Mrs. Wolfstonecraft, but his plan is more extensive and consistent., Note that this is a review of the original German text. , If this work were a mere novel, we, according to the practice of our review, should take no notice of it at all, or at most should confine ourselves to a couple of lines; but it is evident, from the whole work, that it is essentially different from a novel. The ideas which the author wishes to bring into circulation are truly cosmopolitical. An other circumstance must interest a German public, it is an Englishman who writes in German. , An essay on the Nair system of gallantry and inheritance; Shewing its advantages over marriage, in insuring an indubitable birth, and being favorable to population, to the rights of women, and to the active genius of men., Vol. ii. page 206, line 5, for resemblance read remembrance. ----------210 ---18 --temples read tempes. ', Footnotes appear in volume 1 on pages iv, ix, xiv, xviii, xxiii, xxxii-xxxiii, xxxv, xxxvi-xxxvii, xl - xlii, 12, 20, 27, 31, 42, 94, 100. 176, 198-199, 202, 211, 213, and 214; in volume 2�on pages 33, 77, 110, and 190; in volume 3 on pages 15, 59, 83, 138, 180, 184, 217, 227, 237, 250,252, and 253-254; and in volume 4 on pages 10, 18, 48, 62, 85, 105, 118, 130, 147, 148, 153, 156, 165, 168, 171, 186, 200, 250, 255, and 261., A notice of a change of terms to the prices and ammenities included in the subscription library. , The liberal patronage of the nobility and gentry, for near half a century, claims the sincere acknowledgement of Hookham and Sons. In order to give a yet more general satisfaction, than the most unremitting attention to the wishes of their subscribers have been able to effect, the proprieters find the following alterations in the terms of subscription to their library indispensable. The subscribers and the public will acknowledge that this arrangement is neccessary, when the proprietors acquaint them that their library, which is conducted on a more liberal scale, and supplied with a greater variety of works in every branch of literature, than any other, will recieve a very considerable increase of the modern publications, both English and foreign. Annual Subscriptions. --- 5l. 5s. entitle to 13 vols. in London, or 26 in the country. --- 4l. 4s. ______ 10______20_____ --- 3l. 3s._____7_____14_____ [implying reference to the words 'entitle to' and 'vols in London, or' and 'in the country.' to fill in the blanks] Further particulars may be known at the library. Reading-Room. Hookham and Sons beg leave to acquaint the public, that their reading-room, which is supplied with the daily and weekly newspapers, and also with the periodical works, is open from ten till five o'clock, the terms of subscription to which will be explained at the library. ",1,Third-person,Dramatic dialogue,Poems,0,0,Translation,"The bosom friend, Love, an allegory","Empire, Nairs, Right, Woman, Romance, Book, Author, Friend, Love, Allegory, Volume, Edition","Utopian, Twelve, Bosom, Four, Second",,James Lawrence,,,,TJT,,,,
,"Swift, Jonathan,",1667-1745,"Travels into several remote nations of the world; by Lemuel Gulliver. First a surgeon, and then a captain of several ships. In four parts. Part I. A voyage to Lilliput. Part II. A voyage to Brobdingnag. Part III. A voyage to Laputa, Balnibarbi, Luggnagg, Glubbdubdrib, and Japan. Part IV. A voyage to the country of the Houyhnhnms.",London,1755,Quarto,,"From Penn Franklin catalog: Also issued as Vol. I, Part II of Swift's 'Works', London, 1755., Maps on flyleaves between 68 and 69, 140 and 141, 156 and 157, 206 and [207]; diagram of Laputan language (as described in text) between 170 and 171, Penn libraries/Annenberg rare books collection bookplate","Table of contents, To the reader, Letter, Footnotes","Descriptions of chapters, organized into four parts, The author of these travels, Mr. Lemuel Gulliver, is my antient and intimate friend; there is likewise some relation between us on the mother's side., I hope you will be ready to own publickly, whenever you shall be called to it, that by your great and frequent urgency you prevailed on me to publish a very loose and uncorrect account of my travels, with direction to hire some young gentlemen of either university to put them in order, and correct the style, as my cousin Dampier did by my advice in his book called, A voyage round the world., Some are attributed to Swift's friend Lord Orrery's 1751 commentary; others are unattributed, and occasionally comment on or correct Orrery's notes (e.g. p. 111, p. 166, p. 183).  These notes explain rather than expand the satire; the opposite of the famously vertiginous Swiftian footnote.  Footnotes on pages 4 (in Letter from Gulliver to Simpson), [1] (main text), 10, 12, 14, 15, 19, 21, 23, 29, 33, 35, 44, 54, 57, 72, 89, 90, 92, 111, 126, 129, 132, 139, 146, 152, 166, 178, 182, 183, 184, 185, 199, 202, 203, 208, 217, 232, 234-5, 236, 240, 248, 250, 256, 257, 286",0,First-person,,,0,1,,,"Travel, Nation",,,,,,,,,,,
